candidat,parti,score
"Jean ROTTNER",LUCD,31.15
"Laurent JACOBELLI",LRN,21.12
"Eliane ROMANI",LUGE,14.60
"Brigitte KLINKERT",LDVC,10.77
"Aurélie FILIPPETTI",LUG,8.64
"Florian PHILIPPOT",LDSV,6.95
"Martin MEYER",LREG,3.67
"Louise FÈVE",LEXG,2.60
"Adil TYANE",LDIV,0.49
