candidat,parti,score
Hervé MORIN,LUCD,36.86
Nicolas BAY,LRN,19.86
Mélanie BOULANGER,LUGE,18.37
Laurent BONNATERRE,LUC,11.07
Sébastien JUMEL,LUG,9.64
Pascal LE MANACH,LEXG,3.14
Stéphanie KERBARH,LDIV,1.06
