candidat,parti,score
Carole DELGA,LUGE,39.57
Jean-Paul GARRAUD,LRN,22.61
Aurélien PRADIÉ,LUD,12.19
Antoine MAURICE,LECO,8.84
Vincent TERRAIL-NOVÈS,LUC,8.78
Myriam MARTIN,LFI,5.06
Malena ADRADA,LEXG,1.77
Jean-Luc DAVEZAC,LREG,0.76
Anthony LE BOURSICAUD,LDIV,0.41
