candidat,parti,score
Thierry MARIANI,LRN,36.38
Renaud MUSELIER,LLR,31.91
Jean-Laurent FELIZIA,LUGE,16.89
Jean-Marc GOVERNATORI,LECO,5.28
Isabelle BONNET,LEXG,2.76
Noël CHUISANO,LDSV,2.70
Hervé GUERRERA,LREG,2.18
Valérie LAUPIES,LDSV,1.66
Mikael VINCENZI,LDIV,0.25
