candidat,parti,score
"François BONNEAU",LUG,24.81
"Aleksandar NIKOLIC",LRN,22.24
"Nicolas FORISSIER",LUCD,18.82
"Marc FESNEAU",LUC,16.65
"Charles FOURNIER",LUGE,10.85
"Jérémy CLÉMENT",LDVG,4.07
"Farida MEGDOUD",LEXG,2.56
