candidat,parti,score
Alain ROUSSET,LUG,28.83
Edwige DIAZ,LRN,18.20
Geneviève DARRIEUSSECQ,LUC,13.71
Nicolas FLORIAN,LLR,12.48
Nicolas THIERRY,LECO,4.15
Eddie PUYJALON,LDVD,7.29
Clémence GUETTÉ,LEXG,5.67
Guillaume PERCHET,LEXG,1.74
