candidat,parti,score
Christelle MORANÇAIS,LUCD,34.30
Matthieu ORPHELIN,LUGE,18.70
Guillaume GAROT,LUG,16.32
Hervé JUVIN,LRN,12.54
François DE RUGY,LUC,11.97
Cécile BAYLE DE JESSÉ,LDSV,2.96
Eddy LE BELLER,LEXG,2.63
Linda RIGAUDEAU,LDIV,0.60
