candidat,parti,score
"Valérie PÉCRESSE",LUD,36.18
"Jordan BARDELLA",LRN,13.14
"Julien BAYOU",LECO,12.97
"Laurent SAINT-MARTIN",LUC,11.79
"Audrey PULVAR",LUG,11.07
"Clémentine AUTAIN",LUG,10.23
"Victor PAILHAC",LECO,1.80
"Nathalie ARTHAUD",LEXG,1.49
"Éric BERLINGEN",LDIV,0.60
"Lionel BROT",LDIV,0.54
"Fabiola CONTI",LDIV,0.19
