candidat,parti,score
"Laurent WAUQUIEZ","LUD",43.85
"Fabienne GREBERT","LECO",14.47
"Andréa KOTARAC","LRN",12.32
"Najat VALLAUD-BELKACEM","LUG",11.42
"Bruno BONNELL","LUC",9.82
"Cécile CUKIERMAN","LUG",5.57
"Chantal GOMEZ","LEXG",1.56
"Shella GILL","LDIV",0.65
"Farid OMEIR","LDIV",0.33
