candidat,parti,score
"Xavier BERTRAND",LUD,41.42
"Sébastien CHENU",LRN,24.37
"Karima DELLI",LUGE,18.97
"Laurent PIETRASZEWSKI",LUC,9.13
"Éric PECQUEUR",LEXG,3.56
"José EVRARD",LDSV,2.04
"Audric ALEXANDRE",LDIV,0.50
